question_id,book_id,chapter_id,set_id,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty,question_type
E01-C00-03-009,eng-01,ch00,E01-C00-03,副詞が修飾する(飾る)品詞として、本文で挙げられていないものはどれですか？,動詞,形容詞,名詞,他の副詞,C,副詞は「名詞以外」を修飾します。本文では動詞、形容詞、他の副詞、文全体を修飾する例が挙げられています。名詞を修飾するのは形容詞です。復習はP18を参照してください。,2,multiple_choice
E01-C00-03-010,eng-01,ch00,E01-C00-03,"CHECK問題 問2の単語 ""careful"" の品詞は何ですか？",名詞,動詞,形容詞,副詞,C,careful (注意深い) は、「注意深い人 (careful person)」のように名詞を修飾するため形容詞です。復習はP20-P21を参照してください。,1,multiple_choice
E01-C00-04-001,eng-01,ch00,E01-C00-04,"CHECK問題 問2の単語 ""repair"" の品詞は何ですか？",名詞,動詞,形容詞,副詞,B,repair (〜を修理する) は行動を表すため動詞です。復習はP20-P21を参照してください。,1,multiple_choice
E01-C00-04-002,eng-01,ch00,E01-C00-04,"CHECK問題 問2の単語 ""peace"" の品詞は何ですか？",名詞,動詞,形容詞,副詞,A,peace (平和) は具体的な形のない抽象的な概念の名前なので名詞です。復習はP20-P21を参照してください。,1,multiple_choice
E01-C00-04-003,eng-01,ch00,E01-C00-04,"CHECK問題 問2の単語 ""museum"" の品詞は何ですか？",名詞,動詞,形容詞,副詞,A,museum (博物館) は建物というモノの名前なので名詞です。復習はP20-P21を参照してください。,1,multiple_choice
E01-C00-04-004,eng-01,ch00,E01-C00-04,"CHECK問題 問2の単語 ""politely"" の品詞は何ですか？",名詞,動詞,形容詞,副詞,D,politely (丁寧に) は、「丁寧に話す (speak politely)」のように動詞などの名詞以外を修飾するため副詞です。復習はP20-P21を参照してください。,1,multiple_choice
E01-C00-04-005,eng-01,ch00,E01-C00-05,"単語 ""freedom"" は数えられない名詞です。なぜこれが数えられない名詞であると言えるのか、その理由を最もよく説明しているものはどれですか？",目に見えないから。,「自由」という具体的な形のない抽象的な概念の名前だから。,常に単数形で使われるから。,辞書で不可算名詞とされているから。,B,"本文P21の解説によると、""freedom"" (自由) は具体的な形のない抽象的な概念の名前（抽象名詞）なので、数えられないとされています。選択肢AやCは結果であり理由ではありません。Dも正しいですが、本文で説明されている理由付けはBです。復習はP21を参照してください。",2,multiple_choice
E01-C00-04-006,eng-01,ch00,E01-C00-04,"CHECK問題 問2の単語 ""depend"" の品詞は何ですか？",名詞,動詞,形容詞,副詞,B,depend (頼る) は行動を表すため動詞です。復習はP20-P21を参照してください。,1,multiple_choice
E01-C00-04-007,eng-01,ch00,E01-C00-04,"CHECK問題 問2の単語 ""finally"" の品詞は何ですか？",名詞,動詞,形容詞,副詞,D,finally (ついに) は、「ついに終わる (finally finish)」のように動詞や文全体を修飾するため副詞です。復習はP20-P21を参照してください。,1,multiple_choice
E01-C00-04-008,eng-01,ch00,E01-C00-04,"CHECK問題 問2の単語 ""important"" の品詞は何ですか？",名詞,動詞,形容詞,副詞,C,important (重要な) は、「重要な書類 (important document)」のように名詞を修飾するため形容詞です。復習はP20-P21を参照してください。,1,multiple_choice
E01-C00-04-009,eng-01,ch00,E01-C00-04,"CHECK問題 問2の単語 ""automobile"" の品詞は何ですか？",名詞,動詞,形容詞,副詞,A,automobile (自動車) はモノの名前なので名詞です。復習はP20-P21を参照してください。,1,multiple_choice
E01-C00-04-010,eng-01,ch00,E01-C00-04,"CHECK問題 問1の単語 ""statue"" は数えられる名詞ですか、数えられない名詞ですか？",数えられる名詞,数えられない名詞,どちらの場合もある,文脈による,A,statue (彫像) は「1体、2体」と数えることができる具体的なモノなので、数えられる名詞です。復習はP20-P21を参照してください。,1,multiple_choice
E01-C00-05-001,eng-01,ch00,E01-C00-05,"CHECK問題 問1の単語 ""rabbit"" は数えられる名詞ですか、数えられない名詞ですか？",数えられる名詞,数えられない名詞,どちらの場合もある,文脈による,A,rabbit (ウサギ) は「1羽、2羽」と数えることができる具体的な動物なので、数えられる名詞です。復習はP20-P21を参照してください。,1,multiple_choice
E01-C00-05-002,eng-01,ch00,E01-C00-05,数えられない名詞の基本的な特徴として正しいものはどれですか？,常に複数形である,a や an が付くことがある,常に単数形 (a/an は付かない) である,語尾に s が付くことがある,C,数えられない名詞は複数になることがないため、基本的に a や an が付かず、形が変わらない単数形として扱われます。復習はP15を参照してください。,1,multiple_choice
E01-C00-05-003,eng-01,ch00,E01-C00-05,「破片にしても名前が変わらない名詞」の例として本文で挙げられているものはどれですか？,pencil,chalk,dog,desk,B,chalk (チョーク) は、破片にしてもチョークのままで名前が変わらないため、数えられない名詞の例として挙げられています。復習はP15-P16を参照してください。,1,multiple_choice
E01-C00-05-004,eng-01,ch00,E01-C00-05,文の主語になれる品詞は何ですか？,名詞,動詞,形容詞,副詞,A,本文P16の補講で「名詞だけが主語になれる」と説明されています。,1,multiple_choice
E01-C00-05-005,eng-01,ch00,E01-C00-05,"単語 ""beautiful"" の品詞は形容詞です。なぜこれが形容詞であると言えるのか、その理由を最もよく説明しているものはどれですか？",美しいものを指す言葉だから。,感情を表す言葉だから。,名詞 (例: beautiful flower) の性質や状態を説明する働きがあるから。,副詞 (例: very beautiful) によって修飾されることがあるから。,C,"形容詞の定義は「名詞を飾る(説明する)言葉」です(P17)。""beautiful"" は名詞の性質や状態を説明するため形容詞です。選択肢Aは意味の説明、Bは意味の分類、Dは形容詞が修飾される場合の説明であり、形容詞である直接的な理由ではありません。復習はP17-P18を参照してください。",2,multiple_choice
E01-C00-05-006,eng-01,ch00,E01-C00-05,"large planet という表現で、""large"" は ""planet"" に対してどのような働きをしていますか？",planet の名前を定義している,planet の動きを説明している,planet がどのようなものかを説明(修飾)している,planet の数を表している,C,"形容詞 ""large"" は名詞 ""planet"" が「大きい」という性質を持っていることを説明(修飾)しています。復習はP17-P18を参照してください。",1,multiple_choice
E01-C00-05-007,eng-01,ch00,E01-C00-05,"very beautiful mountain という表現で、""very"" はどの単語を修飾していますか？",very,beautiful,mountain,なし,B,"副詞 ""very"" は形容詞 ""beautiful"" を修飾し、「とても美しい」という意味を加えています。名詞 ""mountain"" を直接修飾しているわけではありません。復習はP18-P19を参照してください。",2,multiple_choice
E01-C00-05-008,eng-01,ch00,E01-C00-05,次の品詞のうち、他の品詞を修飾する(飾る)働きを持つものはどれですか？ (2つ選択),名詞と動詞,動詞と形容詞,形容詞と副詞,副詞と前置詞,C,形容詞は名詞を修飾し、副詞は名詞以外(動詞、形容詞、他の副詞など)を修飾します。復習はP17-P19を参照してください。,2,multiple_choice
E01-C00-05-009,eng-01,ch00,E01-C00-05,本文P19で挙げられている「その他の品詞」に含まれないものはどれですか？,代名詞,冠詞,間投詞,前置詞,C,"本文P19のリストには、代名詞、冠詞、前置詞、助動詞、接続詞、疑問詞が挙げられていますが、間投詞 (例: Oh!, Wow!) は含まれていません。復習はP19を参照してください。",2,multiple_choice
E01-C00-05-010,eng-01,ch00,E01-C00-05,英文法において、名詞・動詞・形容詞・副詞の4つの品詞が特に重要である理由はなぜですか？,最も単語数が多いから,他の品詞がこれらの4つの品詞のいずれかの働きをすることが多いから,発音が難しいから,テストでよく問われるから,B,本文P19で、前置詞が形容詞や副詞のカタマリを作ったり、接続詞が副詞や名詞のカタマリを作ったりするように、他の品詞も結局はこの4つの品詞の働きに関連付けられるため、重要だと説明されています。復習はP19を参照してください。,2,multiple_choice
E01-C00-06-001,eng-01,ch00,E01-C00-06,次の単語のうち、品詞が他と異なるものはどれですか？,dog,cat,bird,run,D,"dog, ""cat"", ""bird"" は動物の名前を表す名詞ですが、""run"" は「走る」という動きを表す動詞です。復習はP15, P16を参照してください。",1,multiple_choice
E01-C00-06-002,eng-01,ch00,E01-C00-06,次の単語のうち、品詞が他と異なるものはどれですか？,happy,sad,beautiful,beauty,D,"happy, ""sad"", ""beautiful"" は名詞を修飾する形容詞ですが、""beauty"" は「美しさ」という名詞です。復習はP15, P17を参照してください。",2,multiple_choice
E01-C00-06-003,eng-01,ch00,E01-C00-06,次の単語のうち、品詞が他と異なるものはどれですか？,quickly,slowly,carefully,careful,D,"quickly, ""slowly"", ""carefully"" は動詞などを修飾する副詞ですが、""careful"" は名詞を修飾する形容詞です。復習はP17, P18, P21を参照してください。",2,multiple_choice
E01-C00-06-004,eng-01,ch00,E01-C00-06,数えられる名詞の単数形の前には、通常何が付きますか？,s または es,a または an,the,何も付かない,B,"数えられる名詞が1つの場合 (単数)、通常はその前に a や an が付きます (例: a dog, an apple)。復習はP15を参照してください。",1,multiple_choice
E01-C00-06-005,eng-01,ch00,E01-C00-06,"単語 ""always"" の品詞は副詞です。なぜこれが副詞であると言えるのか、その理由を最もよく説明しているものはどれですか？",頻度を表す言葉だから。,always comes late のように動詞を修飾(説明)する働きがあるから。,名詞の前に置かれることがあるから。,文の要素として必須ではないから。,B,"副詞の定義は「名詞以外を飾る(説明する)言葉」です(P18)。""always"" は動詞 ""comes"" を修飾し、動作の頻度を説明するため副詞です。選択肢Aは意味の説明、Cは形容詞の特徴、Dは文法上の役割ですが、副詞である直接的な理由ではありません。復習はP18-P19を参照してください。",2,multiple_choice
E01-C00-06-006,eng-01,ch00,E01-C00-06,「抽象名詞」の説明として正しいものはどれですか？,具体的な形を持つ名詞,数えることができる名詞,具体的な形がなく、抽象的な概念の名前を表す名詞,常に複数形で使われる名詞,C,"本文P21の「ここがポイント！」で、peace, advice, information などを例に、具体的な形がなく抽象的な概念の名前を表す名詞を抽象名詞と呼び、数えられないと説明されています。復習はP21を参照してください。",2,multiple_choice
E01-C00-06-007,eng-01,ch00,E01-C00-06,次のうち、抽象名詞に分類される可能性が高いものはどれですか？,car,love,book,tree,B,love (愛) は具体的な形のない抽象的な概念です。他は具体的なモノです。復習はP21を参照してください。,1,multiple_choice
E01-C00-06-008,eng-01,ch00,E01-C00-06,「物質名詞」の説明として、本文の考え方に基づくと最も適切なものはどれですか？,高価な物質を表す名詞,自然界に存在する物質を表す名詞,液体や気体の名前を表す名詞,小さくしても名前が変わらない物質の名前を表す名詞,D,"本文P16で、chalk を例に「どんなに小さく、少量にしても名前が変わらない名詞」を物質名詞と呼び、数えられないと説明されています (例: water, wood, air, bread, paper, money)。復習はP16を参照してください。",2,multiple_choice
E01-C00-06-009,eng-01,ch00,E01-C00-06,次のうち、物質名詞に分類される可能性が高いものはどれですか？,chair,bread,idea,accident,B,"bread (パン) は、切ってもパンであり名前が変わらない物質名詞と考えられます。chair, idea, accident は異なります。復習はP16を参照してください。",1,multiple_choice
E01-C00-06-010,eng-01,ch00,E01-C00-06,品詞を理解することが英文法学習で重要な理由として、本文で述べられていることは何ですか？,単語の意味を推測しやすくなるから,すべての文法事項を基本4品詞に分けて考えられるテクニックの基礎となるから,長文読解のスピードが上がるから,英作文で使える表現が増えるから,B,本文P14で、著者の授業ではすべての文法事項を基本4品詞に分けて考えるテクニックを使うため、品詞の理解が上達の鍵になると述べられています。復習はP14を参照してください。,2,multiple_choice
E01-C00-07-001,eng-01,ch00,E01-C00-07,"単語 ""accident"" の品詞は何ですか？",名詞,動詞,形容詞,副詞,A,accident (事故) は事柄の名前を表すので名詞です。復習はP15を参照してください。,1,multiple_choice
E01-C00-07-002,eng-01,ch00,E01-C00-07,"単語 ""act"" の品詞は何ですか？",名詞,動詞,形容詞,副詞,B,act (行動する) は主語の動きを表すので動詞です。復習はP16を参照してください。,1,multiple_choice
E01-C00-07-003,eng-01,ch00,E01-C00-07,"単語 ""small"" の品詞は何ですか？",名詞,動詞,形容詞,副詞,C,small (小さい) は名詞を修飾する (例: small house) ので形容詞です。復習はP17を参照してください。,1,multiple_choice
E01-C00-07-004,eng-01,ch00,E01-C00-07,"単語 ""fast"" の品詞は何ですか？ (文脈によって異なる場合があるが、基本的な分類として)",名詞,動詞,形容詞または副詞,前置詞,C,fast は「速い」という意味で名詞を修飾する形容詞 (a fast car) と、「速く」という意味で動詞などを修飾する副詞 (run fast) の両方の用法があります。復習はP18を参照してください。,2,multiple_choice
E01-C00-07-005,eng-01,ch00,E01-C00-07,"単語 ""politely"" の品詞は副詞です。なぜこれが副詞であると言えるのか、その理由を最もよく説明しているものはどれですか？",丁寧な態度を表すから。,語尾が -ly で終わるから。,speak politely のように動詞を修飾(説明)する働きがあるから。,"形容詞 ""polite"" から派生した言葉だから。",C,"副詞の定義は「名詞以外を飾る(説明する)言葉」です(P18)。""politely"" は動詞 ""speak"" を修飾し、どのように話すかを説明するため副詞です。選択肢BやDも副詞の特徴であることが多いですが、品詞を決定づける定義ではありません。Aは意味の説明です。復習はP18-P19, P21を参照してください。",2,multiple_choice
E01-C00-07-006,eng-01,ch00,E01-C00-07,"名詞 ""advice"" は数えられない名詞ですか？その理由として最も適切なものは？",数えられない。抽象名詞だから。,数えられる。単数形は an advice。,数えられない。物質名詞だから。,数えられる。複数形は advices。,A,"本文P21で ""advice"" (忠告) は抽象名詞の例として挙げられており、具体的な形がないため数えられないと説明されています。復習はP21を参照してください。",2,multiple_choice
E01-C00-07-007,eng-01,ch00,E01-C00-07,"名詞 ""information"" は数えられない名詞ですか？その理由として最も適切なものは？",数えられる。複数形は informations。,数えられない。物質名詞だから。,数えられる。単数形は an information。,数えられない。抽象名詞だから。,D,"本文P21で ""information"" (情報) は抽象名詞の例として挙げられており、具体的な形がないため数えられないと説明されています。復習はP21を参照してください。",2,multiple_choice
E01-C00-07-008,eng-01,ch00,E01-C00-07,"a blue planet という表現で、""blue"" はどの品詞ですか？",名詞,動詞,形容詞,副詞,C,"blue (青い) は名詞 ""planet"" の色という性質を説明(修飾)しているので形容詞です。復習はP17を参照してください。",1,multiple_choice
E01-C00-07-009,eng-01,ch00,E01-C00-07,"次の文の下線部の単語の品詞を答えなさい: ""She sings beautifully.""",名詞,動詞,形容詞,副詞,D,"beautifully (美しく) は動詞 ""sings"" をどのように歌うか説明(修飾)しているので副詞です。復習はP18-P19を参照してください。",1,multiple_choice
E01-C00-07-010,eng-01,ch00,E01-C00-07,"次の文の下線部の単語の品詞を答えなさい: ""He is a student.""",名詞,動詞,形容詞,副詞,A,student (生徒) は人を表す名前なので名詞です。復習はP15を参照してください。,1,multiple_choice
E01-C00-08-001,eng-01,ch00,E01-C00-08,"次の文の下線部の単語の品詞を答えなさい: ""This book is interesting.""",名詞,動詞,形容詞,副詞,C,"interesting (面白い) は名詞 ""book"" の状態や性質を説明しているので形容詞です (この文では補語として使われています)。復習はP17を参照してください。",2,multiple_choice
E01-C00-08-002,eng-01,ch00,E01-C00-08,"次の文の下線部の単語の品詞を答えなさい: ""They study English hard.""",名詞,動詞,形容詞,副詞,D,"hard (熱心に) は動詞 ""study"" をどのように勉強するか説明(修飾)しているので副詞です。復習はP18-P19を参照してください。",2,multiple_choice
E01-C00-08-003,eng-01,ch00,E01-C00-08,"名詞 ""wood"" は数えられますか？",数えられる,数えられない,文脈による,どちらとも言えない,B,wood (木材) は、小さくしても名前が変わらない物質名詞と考えられるため、数えられません。復習はP16を参照してください。,1,multiple_choice
E01-C00-08-004,eng-01,ch00,E01-C00-08,"名詞 ""air"" は数えられますか？",数えられる,数えられない,文脈による,どちらとも言えない,B,air (空気) は、具体的な形がなく、少量でも名前が変わらない物質と考えられるため、数えられません。復習はP16を参照してください。,1,multiple_choice
E01-C00-08-005,eng-01,ch00,E01-C00-08,"単語 ""marry"" の品詞は動詞です。なぜこれが動詞であると言えるのか、その理由を最もよく説明しているものはどれですか？",結婚という状態を表すから。,「〜と結婚する」という主語の行動を表す言葉だから。,"名詞 ""marriage"" の元になる言葉だから。","前置詞 ""with"" と一緒に使われることが多いから。",B,"動詞の定義は「主語の動きや状態を表す言葉」です(P16)。""marry"" は「〜と結婚する」という主語の行動を表すため動詞です。選択肢Aは状態とも言えますが行動の側面が強いです。CやDは関連情報ですが品詞の定義ではありません。復習はP16, P21を参照してください。",2,multiple_choice
E01-C00-08-006,eng-01,ch00,E01-C00-08,"名詞 ""money"" は数えられますか？","数えられる (例: one money, two moneys)",数えられない,文脈による (硬貨や紙幣を指す場合は数えられる),どちらとも言えない,B,"本文P16では ""money"" (お金) は物質名詞の例として挙げられており、数えられない名詞として扱われます。個々の硬貨(coin)や紙幣(bill)は数えられますが、「お金」という概念は数えません。復習はP16を参照してください。",2,multiple_choice
E01-C00-08-007,eng-01,ch00,E01-C00-08,形容詞の主な役割は何ですか？,主語の動作を表す,名詞を説明(修飾)する,動詞や形容詞を説明(修飾)する,文と文をつなぐ,B,形容詞は名詞の性質や状態を説明(修飾)し、より具体的なイメージを伝える役割があります。復習はP17-P18を参照してください。,1,multiple_choice
E01-C00-08-008,eng-01,ch00,E01-C00-08,副詞の主な役割は何ですか？,名詞を説明(修飾)する,主語の動作を表す,名詞以外(動詞、形容詞、副詞など)を説明(修飾)する,モノや事柄の名前を表す,C,副詞は名詞以外の要素を説明(修飾)し、どのように(how)、いつ(when)、どこで(where)、どの程度(how much)などの情報を加える役割があります。復習はP18-P19を参照してください。,1,multiple_choice
E01-C00-08-009,eng-01,ch00,E01-C00-08,"I, you, he, she, they, it などはどの品詞に分類されますか？",名詞,代名詞,形容詞,冠詞,B,これらは名詞の代わりに使われる代名詞です。復習はP19を参照してください。,1,multiple_choice
E01-C00-08-010,eng-01,ch00,E01-C00-08,"a, an, the はどの品詞に分類されますか？",代名詞,冠詞,前置詞,接続詞,B,これらは名詞の前に置かれて、その名詞が特定のものか不特定のものかなどを示す冠詞です。復習はP19を参照してください。,1,multiple_choice
E01-C00-09-001,eng-01,ch00,E01-C00-09,"to, for, in, on, at, of, from などはどの品詞に分類されますか？",冠詞,前置詞,助動詞,接続詞,B,これらは名詞や代名詞の前に置かれて、場所、時間、方向などを示す前置詞です。復習はP19を参照してください。,1,multiple_choice
E01-C00-09-002,eng-01,ch00,E01-C00-09,"can, may, must, should などはどの品詞に分類されますか？",前置詞,助動詞,接続詞,疑問詞,B,これらは動詞の前に置かれて、能力、許可、義務、推量などの意味を加える助動詞です。復習はP19を参照してください。,1,multiple_choice
E01-C00-09-003,eng-01,ch00,E01-C00-09,"and, or, but などはどの品詞に分類されますか？",助動詞,接続詞,疑問詞,代名詞,B,これらは単語、句、文などをつなぐ接続詞です。復習はP19を参照してください。,1,multiple_choice
E01-C00-09-004,eng-01,ch00,E01-C00-09,"what, when, who, where, how などはどの品詞に分類されますか？",接続詞,疑問詞,代名詞,副詞,B,これらは疑問文を作る際に使われる疑問詞です。文中での働きは名詞、形容詞、副詞など様々です。復習はP19を参照してください。,1,multiple_choice
